page_id,canonical,Adult Yearly Survival,Ash Content,Biogeographic realm,Body Temperature,"Body length, nose to tail",Females per Group,Male Female Body Mass Ratio,Male Tenure,Males per Group,Mating System,Reproductive Skew,Social System,Testes Mass,actual evapotranspiration rate in geographic range,age at eye opening,age at first birth,age at maturity,amino acid composition of milk,animal population density,basal metabolic rate,behavioral circadian rhythm,body length (VT),body mass,carbohydrate composition of milk,clutch/brood/litter size,conservation status,diet breadth,diet includes,dispersal age,eats,ecomorphological guild,ecoregion,extinction status,fatty acid composition of milk,first appearance,geographic distribution includes,geographic range (size of area),gestation period duration,growth rate,habitat breadth,habitat includes,habitat is,head to coccyx length,head-body length,height standing,hind tarsus length,home range,host of,human population density,human population density change,initial mortality rate,inter-birth interval,interacts with,introduced range includes,invasive in,known marine species,last appearance,latitude,life span,litters per year,locomotion,longitude,milk lipids,milk phospholipids,milk solids,mineral composition of milk,mineralized tissue,mortality rate doubling time,motility,native range includes,not invasive in,number of DNA Records In GGBN,number of fossil occurrences in the Paleobiology Database,number of public records in BOLD,number of records in BOLD,number of records in GBIF,number of references in BHL,number of sequences in GenBank,number of specimens in GGBN,nutrient composition of milk,onset of fertility,outer ear length,parasitized by,percent  of marine species currently described,percent synonyms among marine species,population group size,population trend,potential evapotranspiration rate in geographic range,precipitation in geographic range,prenatal development duration,preyed upon by,preys on,primary diet,protein composition of milk,records in BOLD?,records in GBIF?,references in BHL?,reproduction,sequences in GenBank?,sexual dimorphism,skeletal tissue composition,social group size,specimens in GGBN?,tail length,teat number,temperature in geographic range,testis location,total life span,total unknown marine species,trophic guild,trophic level,type specimen repository,undescribed marine species present in museum collections,undiscovered marine morphospecies,undiscovered species (molecular cryptic),water O2 saturation,water depth,water dissolved O2 concentration,water nitrate concentration,water phosphate concentration,water salinity,water silicate concentration,water temperature,weaning age,weight
3014669,Mammuthus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,extinct,,Neogenen Period,,,,,,terrestrial habitat,,,,,,,,,,,,,,,,Holocene Epoch,,,,,,,,,,,,actively mobile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hydroxylapatite,,,,,,,,,grazer,,,,,,,,,,,,,,,
4456528,Thomomys gidleyi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fossorial,,extinct,,4.9,United States,,,,,terrestrial habitat,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,actively mobile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hydroxylapatite,,,,,,,,,browser,,,,,,,,,,,,,,,
4456529,Thomomys carsonensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fossorial,,,,4.9,,,,,,terrestrial habitat,,,,,,,,,,,,,,,,Calabrian Age,,,,,,,,,,,,actively mobile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hydroxylapatite,,,,,,,,,browser,,,,,,,,,,,,,,,
4456530,Thomomys orientalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fossorial,,extinct,,1.8,,,,,,terrestrial habitat,,,,,,,,,,,,,,,,Upper Pleistocene Age,,,,,,,,,,,,actively mobile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hydroxylapatite,,,,,,,,,browser,,,,,,,,,,,,,,,
4456532,Thomomys microdon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fossorial,,extinct,,Upper Pleistocene Age,,,,,,terrestrial habitat,,,,,,,,,,,,,,,,0.0117,,,,,,,,,,,,actively mobile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hydroxylapatite,,,,,,,,,browser,,,,,,,,,,,,,,,
1179795,Spalax ehrenbergi,,,,,,,,,,,,,,233.32,,,,,,101.55,"nocturnal/crepuscular, cathemeral, crepuscular or diurnal/crepuscular",,164.35,,,data deficient,,,0.14894214118017482,,fossorial and/or ground dwelling only,,,,,Turkey,504281300000.0,,,,,terrestrial habitat,,,,,,,1,,,,,,,,,37.74,,,,43.89,,,,,,,,,,,,,,,,,,,,,,,,,Decreasing,1281.83,19.91,,,,plants,,,,,,,,,,,,,1.8976,,,,,herbivore,,,,,,,,,,,,,,
1179796,Spalax leucodon,,,,,,,,,,,,,,538.93,,,,,,127.74,,,188.67,,,data deficient,,,,,fossorial and/or ground dwelling only,,,,,Turkey,714434380000.0,0.07989212646392466,,,,terrestrial habitat,,,,,,,37,,,,,,,,,48.48,,,,31.35,,,,,,,,,,,,,,,,,,,,,,,,,Decreasing,708.93,56.28,,,,plants,,,,,,,,,,,,,0.8737999999999999,,4.5,,,omnivore,,,,,,,,,,,,,0.15808675058351643,
1179797,Spalax nehringi,,,,,,,,,,,,,,425.37,,,,,,,,,,,,data deficient,,,,,,,,,,Greece,597695950000.0,,,,,terrestrial habitat,,,,,,,67.95,,,,,,,,,35.21,,,,27.31,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,971.58,43.47,,,,plants,,,,,,,,,,,,,0.9476000000000001,,,,,herbivore,,,,,,,,,,,,,,
327830,Orycteropus afer,,1.45,the Palearctic,34.5,,,,,,,,,,800.71,0.0,2.998008172652416,,,,6144,nocturnal,125.44300000000001,56175.2,carbohydrate,,least concern,,vertebrates,,,fossorial and/or ground dwelling only,Southern Acacia-Commiphora bushlands and thickets,extant,decanoic acid,Neogenen Period,South Atlantic,18035652330000.0,0.6079522509017982,0.0094,,terrestrial habitat,terrestrial habitat,,,,,,,1,,,0.9993360575508052,7631,,,,Holocene Epoch,23.47,,,,51.41,9.9,,30.2,sodium (Na+),,,actively mobile,,,,,,,,,,,,2.0675304763273714,,,,,,Unknown,1524.66,75.34,0.6160290765724142,,,invertebrates,protein,,,,,,,hydroxylapatite,,,,,2.3477,,24.0,,insectivore,carnivore,,,,,,,,,,,,,0.11203515472596974,6250
1179799,Spalax giganteus,,,the Palearctic,,,,,,,,,,,,,,,,,,,,,,,vulnerable,,invertebrates,,,,Pontic steppe,,,,Russia,,,,,anthropogenic habitat,terrestrial habitat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Decreasing,,,,,,plants,,,,,,,,,,,,,,,,,,herbivore,,,,,,,,,,,,,,
1179800,Spalax graecus,,,the Palearctic,,,,,,,,,,,555.98,,,,,,,,,,,,near threatened,,invertebrates,,,,Central European mixed forests,,,,,43748630000.0,,,,plateau,terrestrial habitat,,,,,,,70,,,,,,,,,46.04,,,,27.5,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,627.66,49.65,,,,plants,,,,,,,,,,,,,0.7839,,,,,herbivore,,,,,,,,,,,,,,
1179801,Spalax microphthalmus,,,the Palearctic,,,,,,,,,,,426.44,,,,,,,,,470,,,least concern,,,,,fossorial,Pontic steppe,extant,,,Turkey,732950440000.0,,,,terrestrial habitat,terrestrial habitat,,,,,,,9,,,,,,,,,54.25,,,,48.69,,,,,,,actively mobile,,,,,,,,,,,,,,,,,,Stable,559.88,39.04,,,,plants,,,,,,,,hydroxylapatite,,,,,0.6455,,,,,herbivore,,,,,,,,,,,,,,
1179802,Spalax zemni,,,the Palearctic,,,,,,,,,,,457.59,,,,,,,,,,,,vulnerable,,invertebrates,,,,Central European mixed forests,,,,,203090750000.0,,,,sandy soil,terrestrial habitat,,,,,,,24,,,,,,,,,48.89,,,,34.55,,,,,,,,,,,,,,,,,,,,,,,,,Decreasing,566.81,41.92,,,,plants,,,,,,,,,,,,,0.6872,,,,,herbivore,,,,,,,,,,,,,,
4456613,Thomomys bottae fulvus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fossorial,,extant,,0.126,,,,,,terrestrial habitat,,,,,,,,,,,,,,,,0.0117,,,,,,,,,,,,actively mobile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hydroxylapatite,,,,,,,,,browser,,,,,,,,,,,,,,,
327849,Tupaia chrysogaster,,,the Indo-Malayan Realm,,,,,,,,,,,,,,,,,,,,,,,endangered,,plants,,,,Mentawai Islands rain forests,extant,,,Indian Ocean,2155210000.0,,,,terrestrial habitat,terrestrial habitat,,,,,,,43,,,,,,,,,-2.02,,,arboreal locomotion behavior,100.47,,,,,,,actively mobile,,,,,,,,,,,,,,,,,,Decreasing,,,,,,invertebrates,,,,,,,,hydroxylapatite,,,,,,,,,insectivore,omnivore,,,,,,,,,,,,,,
